No,ITEMCODE,ITEM DESCRIPTION
1,0052-02-004-R,BAUSCH & LOMB OCUVITE WITH LUTEIN 60S
2,0052-02-254-R,BAUSCH+LOMB PRESERVISION EYE VITAMIN ARED2 FORMULA SOFT GEL 60S
3,0052-02-227-R,BCC BIOCELL COLLAGEN 500MG 90S
4,0051-02-052-R,BENGAY CR ULTRA STRENGTH 113G
5,0051-02-018-R,BENGAY CREAM (GREASELESS STAINLESS) 57G
6,0066-02-030-R,BIOXTRA ALCOHOL-FREE MOUTHRINSE 250ML
7,0066-02-031-R,BIOXTRA GEL MOUTHSPRAY 50ML
8,0051-02-027-R,BLEPHAGEL 40G
9,0052-03-089-R,CALCIT ULTRA 60S
10,0052-03-120-R,CALTRATE 600 WITH VITAMIN D 500IU 60S
11,0052-03-012-R,CALTRATE 600MG TABLET 60S
12,0051-03-035-R,CATIONORM 0.4ML EYE DROP 30S
13,0051-03-022-R,CITRAVESCENT EFFEVESCENT PWDR
14,0051-03-054-R,COLPERMIN CAP 20S
15,0062-04-224-R,DERMATIX ULTRA GEL 15G
16,0051-04-012-R,DESOMEDINE EYE DROP 10ML
17,0051-04-029-R,DROSSA-NOSE 20G
18,0051-04-028-R,DURATEARS EYE OINTMENT 3.5G
19,0051-05-099-R,EVOLVE HA 0.2% EYE DROP 10ML
20,0051-06-011-R,FIBROSOL SACHETS 5G 30S
21,0051-06-007-R,FLO NASAL & SINUS GRANULES 10S
22,0051-06-018-R,FLO STARTER KIT - FLO BOTTLE + SACHETS 12S
23,0051-07-009-R,GAVISCON ADVANCE LIQUID 150ML
24,0051-07-008-R,GENTEAL 0.3% EYE GEL 10G
25,0052-07-104-R,GINFLEX VEGETARIAN CAPSULES 30S
26,0055-07-004-R,GINKGO BILOBA EXTRACT 40MG TAB 10S
27,0052-07-093-R,GNC SELENIUM 100MCG 100S
28,0051-08-043-R,HIALID 0.3% EYE DROP 5ML
29,0005-84-102-L,Hirudoid Cream 14g
30,0052-09-016-R,I-DEFENCE AMD PLUS ARED2 FORMULA 60S
31,0052-09-015-R,I-DEFENCE DRY EYE NUTRITION 90S
32,0053-09-005-R,IMPACT ORAL POWDER 370G ASSORTED (5 SAC)
33,0051-09-019-R,I-DROP PUR PF 10ML
34,0051-09-024-R,I-DROP PUR GEL PF 10ML
35,0051-09-018-R,I-DROP MGD PF 10ML
36,0051-09-016-R,I LID AND LASH WIPES 60S
37,0051-09-017-R,I LID AND LASH PLUS WIPES 60S
38,0013-84-126-D,Ketoconazole 2% Shampoo 100mL/120mL
39,0052-12-054-R,LACRITEC CAP 60S (15 Oct 24)
40,0051-12-031-R,LACTEOL FORT CAP 1S
41,0051-12-023-R,LACTEOL FORT SAC 1S
42,0052-13-036-R,MACUTEC ONCE DAILY CAP 60S  (15 Oct 24)
43,0004-88-057-C,Mecobalamin 500mcg Cap/Tab 10s
44,0052-15-058-R,OCEAN HEALTH OMEGA 3 FISH OIL 1000MG 60S
45,0053-15-017-R,OPTIFAST MILK SHAKE CHOCOLATE/ STRAWBERRY 12X53G
46,0053-15-018-R,OPTIFAST VEGETABLE SOUP 8X53G
47,0051-15-067-R,Optive ADVANCED UD Eye Drop 0.4mL 30s
48,0051-15-007-R,Optive Eye Drop 15mL
49,0051-15-069-R,Optive FUSION Eye Drop 10mL
50,0051-15-068-R,Optive FUSION UD Eye Drop 0.4mL 30s
51,0066-15-003-R,ORABASE PROTECTIVE PASTE 5G
52,0066-15-226-R,ORAL SEVEN MOISTURISING MOUTH GEL 50G
53,0066-15-225-R,ORAL SEVEN MOISTURISING MOUTHWASH 250ML
54,0051-16-021-R,PRO-GUT CAP 10S
55,0055-16-010-R,PROSTAKAN CAPSULE 60S
56,0051-18-005-R,REFRESH EYE DROP 0.4ML 30S/BOX
57,0051-18-006-R,REFRESH PLUS EYE/D 30S/BOX
58,0051-18-007-R,REFRESH TEARS EYE DROP 15ML
59,0056-19-132-R,S&N SECURA EXTRA PROTECTIVE BARRIER CR 92G
60,0051-19-029-R,SMECTA 3G SACHET 1S
61,0051-19-041-R,STERIMAR NASAL SPRAY 50ML
62,0051-19-120-R,SUU BALM CREAM 75ML
63,0051-19-105-R,SYSTANE ULTRA EYE DROP 10ML
64,0051-19-119-R,SYSTANE ULTRA UD 0.7ML 30S
65,0051-20-006-R,TEARS NATURALE II EYE DROP 15ML
66,0055-20-010-R,TEBONIN FORTE 120MG 30S
67,0052-20-172-R,THERA TEARS NUTRITION CAP 90S
68,0051-20-088-R,TLC EYE CARE WIPES 20S
69,0051-21-005-R,UROCIT-K 1080MG TAB 100S
70,0051-22-009-R,VISMED GEL 0.3% 20S
71,0051-22-011-R,VIVOMIXX CAPSULES 30S (F)
